ID,Sales
T1188341,48793.477
T1188342,36298.176
T1188343,72785.06
T1188344,36019.777
T1188345,40268.07
T1188346,99277.48
T1188347,61463.027
T1188348,44139.215
T1188349,47955.684
T1188350,32393.965
T1188351,38057.57
T1188352,45663.105
T1188353,38295.56
T1188354,35389.395
T1188355,38508.836
T1188356,35572.516
T1188357,43278.117
T1188358,21176.885
T1188359,28602.867
T1188360,51622.387
T1188361,30212.791
T1188362,39391.492
T1188363,39805.332
T1188364,28870.812
T1188365,36984.285
T1188366,30579.877
T1188367,35153.63
T1188368,29439.447
T1188369,37070.17
T1188370,43333.906
T1188371,37321.516
T1188372,52807.293
T1188373,34634.48
T1188374,33231.914
T1188375,84647.414
T1188376,64825.844
T1188377,33407.383
T1188378,31617.156
T1188379,27181.83
T1188380,58132.06
T1188381,28470.73
T1188382,35032.684
T1188383,33723.74
T1188384,33267.45
T1188385,42388.29
T1188386,37456.484
T1188387,56658.098
T1188388,58297.35
T1188389,31688.604
T1188390,97225.16
T1188391,35730.027
T1188392,44132.723
T1188393,61094.72
T1188394,44399.273
T1188395,35149.305
T1188396,79964.69
T1188397,41220.926
T1188398,38631.117
T1188399,39511.316
T1188400,42825.91
T1188401,34040.54
T1188402,19432.057
T1188403,48289.797
T1188404,29662.05
T1188405,35814.95
T1188406,22568.219
T1188407,50334.9
T1188408,35272.336
T1188409,39320.547
T1188410,25859.04
T1188411,49468.45
T1188412,24324.512
T1188413,36083.125
T1188414,27118.781
T1188415,31428.547
T1188416,41934.074
T1188417,48551.285
T1188418,43584.355
T1188419,43297.97
T1188420,49000.375
T1188421,23007.652
T1188422,47032.023
T1188423,65335.52
T1188424,36786.31
T1188425,33699.94
T1188426,36902.63
T1188427,51955.4
T1188428,36834.848
T1188429,58748.414
T1188430,52917.992
T1188431,38584.742
T1188432,21792.01
T1188433,51901.977
T1188434,34841.984
T1188435,34441.473
T1188436,53715.402
T1188437,49028.08
T1188438,25044.332
T1188439,45220.027
T1188440,38279.793
T1188441,32459.361
T1188442,42566.62
T1188443,39392.957
T1188444,36694.484
T1188445,34135.695
T1188446,24561.055
T1188447,54676.41
T1188448,67698.72
T1188449,39539.83
T1188450,35113.402
T1188451,46577.43
T1188452,21834.666
T1188453,41724.89
T1188454,27445.738
T1188455,61466.062
T1188456,27460.66
T1188457,28280.508
T1188458,33420.207
T1188459,60210.76
T1188460,21244.365
T1188461,39818.293
T1188462,37828.723
T1188463,23871.453
T1188464,43652.062
T1188465,42143.5
T1188466,30427.26
T1188467,24724.316
T1188468,42409.18
T1188469,36798.117
T1188470,22534.262
T1188471,42545.535
T1188472,42912.824
T1188473,38850.516
T1188474,51593.16
T1188475,16447.29
T1188476,45504.164
T1188477,34352.926
T1188478,35144.082
T1188479,19265.348
T1188480,44399.273
T1188481,52104.312
T1188482,44207.25
T1188483,48685.586
T1188484,48171.523
T1188485,28029.094
T1188486,19683.12
T1188487,37002.95
T1188488,35603.277
T1188489,30464.645
T1188490,46272.848
T1188491,40712.223
T1188492,27871.713
T1188493,33267.45
T1188494,47723.723
T1188495,25702.55
T1188496,42843.688
T1188497,25010.49
T1188498,33886.043
T1188499,39808.58
T1188500,49552.316
T1188501,33232.586
T1188502,36945.77
T1188503,29949.527
T1188504,30465.027
T1188505,30724.836
T1188506,48104.6
T1188507,43653.926
T1188508,41745.746
T1188509,27304.291
T1188510,34322.965
T1188511,35601.832
T1188512,36847.152
T1188513,30066.38
T1188514,36158.613
T1188515,50766.58
T1188516,35990.824
T1188517,50671.094
T1188518,32179.707
T1188519,41062.016
T1188520,21549.402
T1188521,46742.51
T1188522,35091.598
T1188523,30465.682
T1188524,41873.625
T1188525,58591.203
T1188526,30262.223
T1188527,35754.164
T1188528,32297.89
T1188529,51093.242
T1188530,38406.918
T1188531,47388.418
T1188532,43881.652
T1188533,37371.613
T1188534,36961.89
T1188535,50247.43
T1188536,54440.008
T1188537,87481.01
T1188538,56764.69
T1188539,42050.66
T1188540,38645.35
T1188541,35658.848
T1188542,63566.27
T1188543,39249.906
T1188544,37996.047
