ID,Sales
T1188341,52976.4
T1188342,37304.89
T1188343,65589.4
T1188344,38171.86
T1188345,38185.01
T1188346,65589.4
T1188347,52976.4
T1188348,46303.91
T1188349,48615.5
T1188350,35075.08
T1188351,47156.066
T1188352,38185.01
T1188353,37823.766
T1188354,42072.816
T1188355,41499.55
T1188356,32522.582
T1188357,47539.902
T1188358,23503.383
T1188359,37304.89
T1188360,50059.293
T1188361,29247.943
T1188362,38089.344
T1188363,41499.55
T1188364,29247.943
T1188365,38089.344
T1188366,31949.158
T1188367,38185.01
T1188368,31361.258
T1188369,38185.01
T1188370,48940.1
T1188371,38185.01
T1188372,47156.066
T1188373,30391.064
T1188374,32522.582
T1188375,65589.4
T1188376,53205.25
T1188377,32522.582
T1188378,38185.01
T1188379,28240.771
T1188380,65589.4
T1188381,31949.158
T1188382,38185.01
T1188383,32963.164
T1188384,31949.158
T1188385,44955.473
T1188386,37823.766
T1188387,65589.4
T1188388,57502.566
T1188389,31361.258
T1188390,77211.17
T1188391,37823.766
T1188392,51382.926
T1188393,65589.4
T1188394,43742.49
T1188395,37823.766
T1188396,65589.4
T1188397,37823.766
T1188398,42072.816
T1188399,38185.01
T1188400,47539.902
T1188401,37304.89
T1188402,22535.818
T1188403,65589.4
T1188404,37304.89
T1188405,38185.01
T1188406,23536.326
T1188407,52976.4
T1188408,38171.86
T1188409,40211.42
T1188410,24725.125
T1188411,52976.4
T1188412,23503.383
T1188413,37823.766
T1188414,29247.943
T1188415,38185.01
T1188416,42072.816
T1188417,47156.066
T1188418,38171.86
T1188419,48940.1
T1188420,57502.566
T1188421,22535.818
T1188422,51382.926
T1188423,57502.566
T1188424,37823.766
T1188425,38185.01
T1188426,37823.766
T1188427,57502.566
T1188428,38185.01
T1188429,65589.4
T1188430,48940.1
T1188431,37823.766
T1188432,21623.396
T1188433,52976.4
T1188434,38171.86
T1188435,31634.727
T1188436,48940.1
T1188437,57502.566
T1188438,24725.125
T1188439,48205.14
T1188440,38185.01
T1188441,31949.158
T1188442,37304.89
T1188443,37823.766
T1188444,41499.55
T1188445,37304.89
T1188446,29995.234
T1188447,65589.4
T1188448,52976.4
T1188449,38185.01
T1188450,38171.86
T1188451,50059.293
T1188452,21623.396
T1188453,48940.1
T1188454,31949.158
T1188455,65589.4
T1188456,27061.385
T1188457,27682.072
T1188458,37304.89
T1188459,65589.4
T1188460,22535.818
T1188461,43742.49
T1188462,38185.01
T1188463,23566.67
T1188464,48940.1
T1188465,37304.89
T1188466,32522.582
T1188467,25725.936
T1188468,38171.86
T1188469,37823.766
T1188470,21623.396
T1188471,38185.01
T1188472,44955.473
T1188473,44955.473
T1188474,47539.902
T1188475,21623.396
T1188476,46303.91
T1188477,38171.86
T1188478,37823.766
T1188479,21623.396
T1188480,43742.49
T1188481,48615.5
T1188482,44955.473
T1188483,47156.066
T1188484,48615.5
T1188485,29247.943
T1188486,23566.67
T1188487,37705.875
T1188488,37823.766
T1188489,38185.01
T1188490,48615.5
T1188491,37823.766
T1188492,30391.064
T1188493,31949.158
T1188494,47156.066
T1188495,27443.75
T1188496,47539.902
T1188497,25725.936
T1188498,38185.01
T1188499,38185.01
T1188500,53205.25
T1188501,32522.582
T1188502,38185.01
T1188503,30666.08
T1188504,30391.064
T1188505,31949.158
T1188506,48940.1
T1188507,38171.86
T1188508,38185.01
T1188509,26852.24
T1188510,38185.01
T1188511,31949.158
T1188512,41499.55
T1188513,31634.727
T1188514,38171.86
T1188515,57502.566
T1188516,38185.01
T1188517,51382.926
T1188518,38171.86
T1188519,48940.1
T1188520,22535.818
T1188521,50059.293
T1188522,37823.766
T1188523,29247.943
T1188524,42832.82
T1188525,65589.4
T1188526,29247.943
T1188527,37823.766
T1188528,35075.08
T1188529,48940.1
T1188530,37823.766
T1188531,49842.266
T1188532,38171.86
T1188533,38185.01
T1188534,38185.01
T1188535,52976.4
T1188536,65589.4
T1188537,57502.566
T1188538,57502.566
T1188539,47539.902
T1188540,41499.55
T1188541,37823.766
T1188542,65589.4
T1188543,37823.766
T1188544,38171.86
T1188545,38185.01
T1188546,30017.129
T1188547,38171.86
T1188548,47156.066
T1188549,29247.943
T1188550,37304.89
T1188551,38171.86
T1188552,21623.396
T1188553,37823.766
T1188554,65589.4
T1188555,38171.86
T1188556,52976.4
T1188557,23503.383
T1188558,30017.129
T1188559,37304.89
T1188560,37823.766
T1188561,41499.55
T1188562,27443.75
T1188563,38171.86
T1188564,57502.566
T1188565,41499.55
T1188566,42072.816
T1188567,48940.1
T1188568,23503.383
T1188569,37823.766
T1188570,38185.01
T1188571,26852.24
T1188572,65589.4
T1188573,30391.064
T1188574,38185.01
T1188575,37823.766
T1188576,65589.4
T1188577,38171.86
T1188578,30391.064
T1188579,37304.89
T1188580,37304.89
T1188581,32522.582
T1188582,27682.072
T1188583,31949.158
T1188584,27443.75
T1188585,77211.17
T1188586,38171.86
T1188587,48940.1
T1188588,31949.158
T1188589,25725.936
T1188590,37823.766
T1188591,29995.234
T1188592,30209.426
T1188593,21623.396
T1188594,65589.4
T1188595,32522.582
T1188596,38185.01
T1188597,77211.17
T1188598,65589.4
T1188599,48898.22
T1188600,31949.158
T1188601,44955.473
T1188602,28240.771
T1188603,72028.4
T1188604,37823.766
T1188605,48940.1
T1188606,27682.072
T1188607,57235.184
T1188608,42072.816
T1188609,28240.771
T1188610,57502.566
T1188611,30017.129
T1188612,47539.902
T1188613,48940.1
T1188614,52976.4
T1188615,30391.064
T1188616,53205.25
T1188617,30017.129
T1188618,47156.066
T1188619,23503.383
T1188620,37823.766
T1188621,32522.582
T1188622,37304.89
T1188623,48940.1
T1188624,24725.125
T1188625,57502.566
T1188626,37304.89
T1188627,37304.89
T1188628,44955.473
T1188629,32522.582
T1188630,38185.01
T1188631,30017.129
T1188632,41499.55
T1188633,38171.86
T1188634,31949.158
T1188635,42072.816
T1188636,26852.24
T1188637,48940.1
T1188638,30391.064
T1188639,65589.4
T1188640,24725.125
T1188641,37304.89
T1188642,38089.344
T1188643,41499.55
T1188644,28240.771
T1188645,32963.164
T1188646,32522.582
T1188647,30391.064
T1188648,38185.01
T1188649,28240.771
T1188650,31634.727
T1188651,32522.582
T1188652,57863.773
T1188653,48940.1
T1188654,37823.766
T1188655,29995.234
T1188656,43742.49
T1188657,44955.473
T1188658,41499.55
T1188659,48205.14
T1188660,32522.582
T1188661,52976.4
T1188662,65589.4
T1188663,38171.86
T1188664,21623.396
T1188665,37823.766
T1188666,49842.266
T1188667,37823.766
T1188668,65589.4
T1188669,65589.4
T1188670,65589.4
T1188671,65589.4
T1188672,65589.4
T1188673,52976.4
T1188674,38185.01
T1188675,48940.1
T1188676,38185.01
T1188677,27682.072
T1188678,44461.45
T1188679,52976.4
T1188680,24725.125
T1188681,27682.072
T1188682,50059.293
T1188683,42072.816
T1188684,24725.125
T1188685,65589.4
T1188686,38171.86
T1188687,48940.1
T1188688,31949.158
T1188689,48940.1
T1188690,38171.86
T1188691,48615.5
T1188692,38185.01
T1188693,65589.4
T1188694,23536.326
T1188695,30017.129
T1188696,46303.91
T1188697,32522.582
T1188698,65589.4
T1188699,57502.566
T1188700,43917.523
T1188701,27029.582
T1188702,57863.773
T1188703,29995.234
T1188704,37304.89
T1188705,53205.25
T1188706,66622.95
T1188707,36280.582
T1188708,23909.219
T1188709,49027.773
T1188710,66622.95
T1188711,39903.387
T1188712,29900.002
T1188713,66622.95
T1188714,38422.98
T1188715,31356.74
T1188716,21058.822
T1188717,66622.95
T1188718,39035.3
T1188719,39035.3
T1188720,22591.688
T1188721,24076.447
T1188722,66622.95
T1188723,66622.95
T1188724,21058.822
T1188725,38422.98
T1188726,46540.684
T1188727,37267.945
T1188728,48541.72
T1188729,39035.3
T1188730,43963.973
T1188731,58841.176
T1188732,32538.88
T1188733,50118.637
T1188734,66622.95
T1188735,22591.688
T1188736,28314.588
T1188737,31356.74
T1188738,21480.486
T1188739,38422.98
T1188740,38422.98
T1188741,38422.98
T1188742,48770.17
T1188743,38422.98
T1188744,39903.387
T1188745,58841.176
T1188746,42157.87
T1188747,37267.945
T1188748,49093.875
T1188749,31356.74
T1188750,32538.88
T1188751,66622.95
T1188752,21659.387
T1188753,66622.95
T1188754,39035.3
T1188755,48854.812
T1188756,37267.945
T1188757,36280.582
T1188758,60406.297
T1188759,66622.95
T1188760,43963.973
T1188761,38422.98
T1188762,58841.176
T1188763,49093.875
T1188764,21659.387
T1188765,46540.684
T1188766,37267.945
T1188767,39035.3
T1188768,29900.002
T1188769,28554.594
T1188770,58841.176
T1188771,49093.875
T1188772,39035.3
T1188773,66622.95
T1188774,39903.387
T1188775,38422.98
T1188776,28125.568
T1188777,23909.219
T1188778,21058.822
T1188779,49093.875
T1188780,45648.156
T1188781,39035.3
T1188782,51732.254
T1188783,31356.74
T1188784,27180.234
T1188785,31890.387
T1188786,49093.875
T1188787,39903.387
T1188788,38422.98
T1188789,22591.688
T1188790,29510.596
T1188791,37267.945
T1188792,28554.594
T1188793,49027.773
T1188794,37267.945
T1188795,37184.29
T1188796,31890.387
T1188797,60406.297
T1188798,39903.387
T1188799,24076.447
T1188800,56082.87
T1188801,30791.834
T1188802,26783.182
T1188803,32538.88
T1188804,30791.834
T1188805,39035.3
T1188806,32538.88
T1188807,31356.74
T1188808,37267.945
T1188809,50118.637
T1188810,28016.67
T1188811,28125.568
T1188812,37267.945
T1188813,27180.234
T1188814,39035.3
T1188815,24846.307
T1188816,37267.945
T1188817,37267.945
T1188818,31356.74
T1188819,56234.938
T1188820,42157.87
T1188821,32538.88
T1188822,46060.742
T1188823,66622.95
T1188824,60406.297
T1188825,49093.875
T1188826,48541.72
T1188827,36280.582
T1188828,39035.3
T1188829,37267.945
T1188830,21058.822
T1188831,49093.875
T1188832,37267.945
T1188833,43963.973
T1188834,24846.307
T1188835,39035.3
T1188836,28314.588
T1188837,37391.242
T1188838,29434.676
T1188839,21058.822
T1188840,28016.67
T1188841,45648.156
T1188842,37267.945
T1188843,38422.98
T1188844,46060.742
T1188845,39903.387
T1188846,32538.88
T1188847,42157.87
T1188848,37267.945
T1188849,31356.74
T1188850,51732.254
T1188851,48541.72
T1188852,49093.875
T1188853,37267.945
T1188854,38422.98
T1188855,39035.3
T1188856,28554.594
T1188857,43963.973
T1188858,49093.875
T1188859,46540.684
T1188860,50118.637
T1188861,37267.945
T1188862,31890.387
T1188863,21480.486
T1188864,49093.875
T1188865,38422.98
T1188866,36280.582
T1188867,39035.3
T1188868,36280.582
T1188869,28314.588
T1188870,28314.588
T1188871,45648.156
T1188872,32538.88
T1188873,37267.945
T1188874,37267.945
T1188875,58841.176
T1188876,39035.3
T1188877,36280.582
T1188878,36280.582
T1188879,29434.676
T1188880,66622.95
T1188881,38422.98
T1188882,66622.95
T1188883,50118.637
T1188884,58841.176
T1188885,39903.387
T1188886,29900.002
T1188887,34110.96
T1188888,31890.387
T1188889,21659.387
T1188890,50118.637
T1188891,28314.588
T1188892,37267.945
T1188893,28016.67
T1188894,71693.54
T1188895,37267.945
T1188896,30284.445
T1188897,36280.582
T1188898,76947.97
T1188899,39035.3
T1188900,36280.582
T1188901,36280.582
T1188902,58841.176
T1188903,60406.297
T1188904,46540.684
T1188905,29900.002
T1188906,39035.3
T1188907,24076.447
T1188908,37267.945
T1188909,66622.95
T1188910,37267.945
T1188911,51732.254
T1188912,66622.95
T1188913,70021.14
T1188914,39035.3
T1188915,27180.234
T1188916,39035.3
T1188917,48854.812
T1188918,28016.67
T1188919,55940.508
T1188920,37267.945
T1188921,49093.875
T1188922,24076.447
T1188923,39903.387
T1188924,39035.3
T1188925,21058.822
T1188926,56234.938
T1188927,58841.176
T1188928,43267.56
T1188929,38422.98
T1188930,60406.297
T1188931,30791.834
T1188932,56082.87
T1188933,32538.88
T1188934,37267.945
T1188935,28016.67
T1188936,37184.29
T1188937,31890.387
T1188938,31356.74
T1188939,42157.87
T1188940,39903.387
T1188941,58841.176
T1188942,32538.88
T1188943,36280.582
T1188944,46060.742
T1188945,60406.297
T1188946,49093.875
T1188947,24076.447
T1188948,21659.387
T1188949,46060.742
T1188950,36280.582
T1188951,49027.773
T1188952,29900.002
T1188953,28314.588
T1188954,37267.945
T1188955,45643.355
T1188956,45112.812
T1188957,39035.3
T1188958,49093.875
T1188959,76947.97
T1188960,58841.176
T1188961,50118.637
T1188962,37267.945
T1188963,66622.95
T1188964,37267.945
T1188965,60406.297
T1188966,32538.88
T1188967,37267.945
T1188968,60406.297
T1188969,46060.742
T1188970,66622.95
T1188971,39903.387
T1188972,26053.979
T1188973,39035.3
T1188974,71693.54
T1188975,66622.95
T1188976,39035.3
T1188977,42157.87
T1188978,21058.822
T1188979,60406.297
T1188980,66622.95
T1188981,36280.582
T1188982,37267.945
T1188983,43963.973
T1188984,39035.3
T1188985,27180.234
T1188986,43990.53
T1188987,46060.742
T1188988,66622.95
T1188989,38422.98
T1188990,43963.973
T1188991,29434.676
T1188992,39035.3
T1188993,31890.387
T1188994,34110.96
T1188995,21659.387
T1188996,51530.24
T1188997,39035.3
T1188998,48770.17
T1188999,28314.588
T1189000,24076.447
T1189001,38422.98
T1189002,29434.676
T1189003,66622.95
T1189004,56234.938
T1189005,21058.822
T1189006,28125.568
T1189007,37267.945
T1189008,66622.95
T1189009,27180.234
T1189010,31890.387
T1189011,66622.95
T1189012,66622.95
T1189013,31890.387
T1189014,27843.766
T1189015,32401.69
T1189016,66622.95
T1189017,39035.3
T1189018,31890.387
T1189019,38422.98
T1189020,43963.973
T1189021,49027.773
T1189022,32538.88
T1189023,38422.98
T1189024,31356.74
T1189025,29900.002
T1189026,66622.95
T1189027,38422.98
T1189028,58841.176
T1189029,22591.688
T1189030,31890.387
T1189031,49093.875
T1189032,24846.307
T1189033,36280.582
T1189034,60406.297
T1189035,31890.387
T1189036,49093.875
T1189037,31890.387
T1189038,37267.945
T1189039,38422.98
T1189040,30284.445
T1189041,49093.875
T1189042,50118.637
T1189043,49093.875
T1189044,36280.582
T1189045,66622.95
T1189046,32401.69
T1189047,48541.72
T1189048,39035.3
T1189049,42157.87
T1189050,32538.88
T1189051,39035.3
T1189052,42157.87
T1189053,37267.945
T1189054,66622.95
T1189055,58841.176
T1189056,37184.29
T1189057,36280.582
T1189058,66622.95
T1189059,49093.875
T1189060,37267.945
T1189061,71693.54
T1189062,37267.945
T1189063,66622.95
T1189064,38422.98
T1189065,48541.72
T1189066,38422.98
T1189067,36280.582
T1189068,32538.88
T1189069,31890.387
T1189070,49093.875
T1189071,25180.72
T1189072,31773.266
T1189073,44008.305
