ID,Sales
T1188341,53289.35
T1188342,36530.766
T1188343,65933.95
T1188344,37850.656
T1188345,37541.64
T1188346,65933.95
T1188347,53289.35
T1188348,47599.836
T1188349,49607.664
T1188350,34589.664
T1188351,48249.645
T1188352,37541.64
T1188353,38008.074
T1188354,41817.19
T1188355,41413.88
T1188356,32331.676
T1188357,47447.305
T1188358,22532.312
T1188359,36530.766
T1188360,50123.92
T1188361,29609.314
T1188362,37661.523
T1188363,41413.88
T1188364,29609.314
T1188365,37661.523
T1188366,32002.586
T1188367,37541.64
T1188368,31560.674
T1188369,37541.64
T1188370,48001.69
T1188371,37541.64
T1188372,48249.645
T1188373,31544.285
T1188374,32331.676
T1188375,65933.95
T1188376,51637.953
T1188377,32331.676
T1188378,37541.64
T1188379,27951.695
T1188380,65933.95
T1188381,32002.586
T1188382,37541.64
T1188383,32848.887
T1188384,32002.586
T1188385,44122.293
T1188386,38008.074
T1188387,65933.95
T1188388,57340.727
T1188389,31560.674
T1188390,77680.234
T1188391,38008.074
T1188392,51554.043
T1188393,65933.95
T1188394,45275.89
T1188395,38008.074
T1188396,65933.95
T1188397,38008.074
T1188398,41817.19
T1188399,37541.64
T1188400,47447.305
T1188401,36530.766
T1188402,22360.252
T1188403,65933.95
T1188404,36530.766
T1188405,37541.64
T1188406,23749.424
T1188407,53289.35
T1188408,37850.656
T1188409,40429.902
T1188410,24113.846
T1188411,53289.35
T1188412,22532.312
T1188413,38008.074
T1188414,29609.314
T1188415,37541.64
T1188416,41817.19
T1188417,48249.645
T1188418,37850.656
T1188419,48001.69
T1188420,57340.727
T1188421,22360.252
T1188422,51554.043
T1188423,57340.727
T1188424,38008.074
T1188425,37541.64
T1188426,38008.074
T1188427,57340.727
T1188428,37541.64
T1188429,65933.95
T1188430,48001.69
T1188431,38008.074
T1188432,21396.64
T1188433,53289.35
T1188434,37850.656
T1188435,30946.82
T1188436,48001.69
T1188437,57340.727
T1188438,24113.846
T1188439,48766.055
T1188440,37541.64
T1188441,32002.586
T1188442,36530.766
T1188443,38008.074
T1188444,41413.88
T1188445,36530.766
T1188446,29585.824
T1188447,65933.95
T1188448,53289.35
T1188449,37541.64
T1188450,37850.656
T1188451,50123.92
T1188452,21396.64
T1188453,48001.69
T1188454,32002.586
T1188455,65933.95
T1188456,26805.293
T1188457,27880.887
T1188458,36530.766
T1188459,65933.95
T1188460,22360.252
T1188461,45275.89
T1188462,37541.64
T1188463,23373.455
T1188464,48001.69
T1188465,36530.766
T1188466,32331.676
T1188467,25664.367
T1188468,37850.656
T1188469,38008.074
T1188470,21396.64
T1188471,37541.64
T1188472,44122.293
T1188473,44122.293
T1188474,47447.305
T1188475,21396.64
T1188476,47599.836
T1188477,37850.656
T1188478,38008.074
T1188479,21396.64
T1188480,45275.89
T1188481,49607.664
T1188482,44122.293
T1188483,48249.645
T1188484,49607.664
T1188485,29609.314
T1188486,23373.455
T1188487,37244.344
T1188488,38008.074
T1188489,37541.64
T1188490,49607.664
T1188491,38008.074
T1188492,31544.285
T1188493,32002.586
T1188494,48249.645
T1188495,26687.613
T1188496,47447.305
T1188497,25664.367
T1188498,37541.64
T1188499,37541.64
T1188500,51637.953
T1188501,32331.676
T1188502,37541.64
T1188503,30141.27
T1188504,31544.285
T1188505,32002.586
T1188506,48001.69
T1188507,37850.656
T1188508,37541.64
T1188509,26968.34
T1188510,37541.64
T1188511,32002.586
T1188512,41413.88
T1188513,30946.82
T1188514,37850.656
T1188515,57340.727
T1188516,37541.64
T1188517,51554.043
T1188518,37850.656
T1188519,48001.69
T1188520,22360.252
T1188521,50123.92
T1188522,38008.074
T1188523,29609.314
T1188524,39924.91
T1188525,65933.95
T1188526,29609.314
T1188527,38008.074
T1188528,34589.664
T1188529,48001.69
T1188530,38008.074
T1188531,49317.17
T1188532,37850.656
T1188533,37541.64
T1188534,37541.64
T1188535,53289.35
T1188536,65933.95
T1188537,57340.727
T1188538,57340.727
T1188539,47447.305
T1188540,41413.88
T1188541,38008.074
T1188542,65933.95
T1188543,38008.074
T1188544,37850.656
T1188545,37541.64
T1188546,28635.96
T1188547,37850.656
T1188548,48249.645
T1188549,29609.314
T1188550,36530.766
T1188551,37850.656
T1188552,21396.64
T1188553,38008.074
T1188554,65933.95
T1188555,37850.656
T1188556,53289.35
T1188557,22532.312
T1188558,28635.96
T1188559,36530.766
T1188560,38008.074
T1188561,41413.88
T1188562,26687.613
T1188563,37850.656
T1188564,57340.727
T1188565,41413.88
T1188566,41817.19
T1188567,48001.69
T1188568,22532.312
T1188569,38008.074
T1188570,37541.64
T1188571,26968.34
T1188572,65933.95
T1188573,31544.285
T1188574,37541.64
T1188575,38008.074
T1188576,65933.95
