ID,Sales
T1188341,55539.36964244213
T1188342,37140.65857777794
T1188343,70168.83483044332
T1188344,37055.29431843197
T1188345,38741.86275514388
T1188346,91231.96778723045
T1188347,61673.60588899537
T1188348,44723.68043424332
T1188349,49638.61532952193
T1188350,31725.396762714226
T1188351,42512.70278494518
T1188352,44708.61579183093
T1188353,37354.46366264347
T1188354,40384.27213229909
T1188355,40063.75088339304
T1188356,33304.41330057483
T1188357,44478.909661586425
T1188358,21518.149313041085
T1188359,30817.28529594911
T1188360,48824.529532671324
T1188361,27585.090253636212
T1188362,34953.61243109101
T1188363,40943.23035568824
T1188364,27585.090253636212
T1188365,34953.61243109101
T1188366,30306.899809883267
T1188367,35670.18495462097
T1188368,31541.812302318496
T1188369,37273.87165182655
T1188370,46600.31990343197
T1188371,37040.96993903271
T1188372,52409.71706440178
T1188373,31159.255012227623
T1188374,30728.822544338498
T1188375,77960.9346905889
T1188376,60517.578102504514
T1188377,30789.748186617657
T1188378,33112.67446126002
T1188379,27598.943758067813
T1188380,61391.6065071777
T1188381,29796.802291778877
T1188382,35608.013569095914
T1188383,31541.812302318496
T1188384,30715.71903889382
T1188385,41608.81757952585
T1188386,37108.25702289305
T1188387,60822.24856064526
T1188388,58836.89367230173
T1188389,31541.812302318496
T1188390,96889.78969728388
T1188391,37140.65857777794
T1188392,46733.53297748058
T1188393,62418.57211360574
T1188394,44864.97686434548
T1188395,36461.41825306425
T1188396,72589.81192554471
T1188397,40225.970138325305
T1188398,41393.265615458855
T1188399,37273.87165182655
T1188400,44673.96554635158
T1188401,36066.58627249023
T1188402,21504.295808609484
T1188403,52736.74508491656
T1188404,32516.9491819596
T1188405,37273.87165182655
T1188406,24973.416235717046
T1188407,55896.917655427285
T1188408,36176.22185504088
T1188409,42152.95080754921
T1188410,25021.79351194105
T1188411,56658.52809819152
T1188412,22490.263702706063
T1188413,37140.65857777794
T1188414,26879.71509474042
T1188415,34082.04312790417
T1188416,41393.265615458855
T1188417,48176.01137706602
T1188418,40228.153241829816
T1188419,46600.31990343197
T1188420,55913.88789076552
T1188421,22085.12381034704
T1188422,46733.53297748058
T1188423,63883.97935231019
T1188424,37140.65857777794
T1188425,34763.96809369562
T1188426,37140.65857777794
T1188427,56808.18362314679
T1188428,37273.87165182655
T1188429,61355.40008141552
T1188430,48989.6237260611
T1188431,37140.65857777794
T1188432,21504.295808609484
T1188433,56658.52809819152
T1188434,35112.54683721426
T1188435,32770.801450331164
T1188436,49563.50199252664
T1188437,53706.47375927421
T1188438,25021.79351194105
T1188439,46464.51788290831
T1188440,37273.87165182655
T1188441,30733.458001121166
T1188442,42601.958273856464
T1188443,38850.89016602029
T1188444,40535.042133030336
T1188445,35790.151229282375
T1188446,25673.852726817142
T1188447,58740.12404789592
T1188448,62097.55220397425
T1188449,39046.96259558086
T1188450,35936.11726190857
T1188451,47855.86611674641
T1188452,21504.295808609484
T1188453,43991.603889570375
T1188454,29545.23174784913
T1188455,61772.29868889904
T1188456,25007.94000750945
T1188457,27550.56648184381
T1188458,35383.11205278537
T1188459,60822.24856064526
T1188460,21504.295808609484
T1188461,42986.02019572864
T1188462,37273.87165182655
T1188463,22349.871161265197
T1188464,45045.77714694873
T1188465,40176.80840184865
T1188466,30719.604496689564
T1188467,25693.08810154156
T1188468,39347.798016149616
T1188469,37111.772765912945
T1188470,21504.295808609484
T1188471,41198.838315154
T1188472,41608.81757952585
T1188473,41608.81757952585
T1188474,49721.13705278171
T1188475,18170.582549159946
T1188476,44723.68043424332
T1188477,35105.847968667666
T1188478,36544.159503821444
T1188479,20337.435992284525
T1188480,44660.11204191997
T1188481,48141.487605273614
T1188482,42454.0545398732
T1188483,48176.01137706602
T1188484,48141.487605273614
T1188485,27585.090253636212
T1188486,20509.241895510975
T1188487,35360.82666463417
T1188488,37114.673642545735
T1188489,33908.28291054954
T1188490,47465.41271250454
T1188491,40927.17645399709
T1188492,29710.90243881883
T1188493,31077.954720112717
T1188494,48176.01137706602
T1188495,28156.307754994417
T1188496,44673.96554635158
T1188497,25693.08810154156
T1188498,35631.47855199129
T1188499,38883.18397120313
T1188500,56287.14262305811
T1188501,30719.604496689564
T1188502,37273.87165182655
T1188503,30783.17288901291
T1188504,30719.604496689564
T1188505,30733.458001121166
T1188506,49875.45379681213
T1188507,40711.93348836226
T1188508,40450.08279290166
T1188509,28142.454250562816
T1188510,36025.079566875145
T1188511,33270.64411619415
T1188512,40986.05138191569
T1188513,31675.025376367106
T1188514,37055.29431843197
T1188515,56808.18362314679
T1188516,37020.68342934401
T1188517,50409.67839866172
T1188518,35246.22352384714
T1188519,45111.64347376154
T1188520,21504.295808609484
T1188521,47855.86611674641
T1188522,35787.68150158014
T1188523,27585.090253636212
T1188524,41803.23529041987
T1188525,60826.565130889816
T1188526,27585.090253636212
T1188527,36946.22985717652
T1188528,31725.396762714226
T1188529,47991.590023135235
T1188530,37835.779215839226
T1188531,48283.00254898242
T1188532,42432.16521515674
T1188533,37273.87165182655
T1188534,38805.06032972219
T1188535,53384.49245368154
T1188536,58370.31319710578
T1188537,84598.0425503029
T1188538,56808.18362314679
T1188539,43712.03028549118
T1188540,39695.836785675616
T1188541,36423.04994183427
T1188542,62400.74445547394
T1188543,39435.83731159263
T1188544,37444.0248209313
T1188545,37273.87165182655
T1188546,28142.454250562816
T1188547,37055.29431843197
T1188548,48176.01137706602
T1188549,27585.090253636212
T1188550,38833.59833510356
T1188551,41928.85073535422
T1188552,17854.092102807583
T1188553,37852.296599355446
T1188554,66185.67603050091
T1188555,34771.41740491571
T1188556,60395.52865774011
T1188557,21518.149313041085
T1188558,28142.454250562816
T1188559,37140.65857777794
T1188560,37140.65857777794
T1188561,42707.26205608625
T1188562,28156.307754994417
T1188563,37055.29431843197
T1188564,54828.25363948571
T1188565,38720.66128149046
T1188566,42355.64699217487
T1188567,48753.445488143836
T1188568,21518.149313041085
T1188569,38466.20933728253
T1188570,36983.83205723012
T1188571,27713.229983834393
T1188572,57881.14941479908
T1188573,30719.604496689564
T1188574,37109.27554531782
T1188575,37140.65857777794
T1188576,53037.857291478074
T1188577,37055.29431843197
T1188578,30719.604496689564
T1188579,34614.424680580705
T1188580,35093.064673091794
T1188581,30719.604496689564
T1188582,27550.56648184381
T1188583,30733.458001121166
T1188584,28156.307754994417
T1188585,77111.709721214
T1188586,34966.73546386421
T1188587,46600.31990343197
T1188588,30537.296069160293
T1188589,25493.11650810597
T1188590,40136.47449463826
T1188591,26879.074180787855
T1188592,29170.85972292044
T1188593,21504.295808609484
T1188594,80677.64990836276
T1188595,29677.843418000775
T1188596,38049.872795450625
T1188597,83987.74579749201
T1188598,54063.771111913775
T1188599,55481.057311393495
T1188600,30733.458001121166
T1188601,43126.7880731126
T1188602,27598.943758067813
T1188603,74969.79799840605
T1188604,38563.86434528377
T1188605,61543.99040812923
T1188606,27550.56648184381
T1188607,52460.34194932115
T1188608,41393.265615458855
T1188609,27598.943758067813
T1188610,58386.53522488695
T1188611,28142.454250562816
T1188612,46749.53386984173
T1188613,45084.9658383029
T1188614,53047.19819019267
T1188615,29727.33523955084
T1188616,57283.2450343162
T1188617,28898.54328349074
T1188618,48176.01137706602
T1188619,21518.149313041085
T1188620,36929.76317403732
T1188621,31194.72118689566
T1188622,35490.88855095291
T1188623,41547.26039929225
T1188624,24614.959619714104
T1188625,62718.029024519725
T1188626,37140.65857777794
T1188627,37140.65857777794
T1188628,41608.81757952585
T1188629,30719.604496689564
T1188630,37273.87165182655
T1188631,28142.454250562816
T1188632,40986.05138191569
T1188633,39351.02302773615
T1188634,30733.458001121166
T1188635,41393.265615458855
T1188636,28142.454250562816
T1188637,42956.27745114559
T1188638,30719.604496689564
T1188639,74793.93350419596
T1188640,25021.79351194105
T1188641,37140.65857777794
T1188642,34953.61243109101
T1188643,40986.05138191569
T1188644,27598.943758067813
T1188645,31541.812302318496
T1188646,30719.604496689564
T1188647,30719.604496689564
T1188648,37825.07337852028
