ID,Sales
T1188341,51842.594
T1188342,38347.047
T1188343,69669.625
T1188344,38138.97
T1188345,38824.29
T1188346,90200.35
T1188347,58400.96
T1188348,46861.68
T1188349,50777.133
T1188350,33575.11
T1188351,43820.54
T1188352,48956.742
T1188353,38626.82
T1188354,39287.312
T1188355,39121.453
T1188356,33272.883
T1188357,46683.727
T1188358,21919.965
T1188359,29063.246
T1188360,48368.17
T1188361,29290.826
T1188362,35847.164
T1188363,40180.68
T1188364,29290.826
T1188365,34920.54
T1188366,30633.611
T1188367,36789.54
T1188368,32994.96
T1188369,38347.047
T1188370,47056.977
T1188371,38347.047
T1188372,53263.523
T1188373,32332.047
T1188374,30544.537
T1188375,80600.266
T1188376,60384.453
T1188377,30578.13
T1188378,34188.688
T1188379,29290.826
T1188380,58950.867
T1188381,30913.705
T1188382,38032.6
T1188383,33783.188
T1188384,31878.428
T1188385,40793.79
T1188386,37898.656
T1188387,60282.35
T1188388,57634.33
T1188389,32954.86
T1188390,94778.49
T1188391,38347.047
T1188392,47056.977
T1188393,63120.953
T1188394,46410.164
T1188395,37092.562
T1188396,73575.01
T1188397,39508.992
T1188398,41539.29
T1188399,38541.414
T1188400,47069.758
T1188401,36682.883
T1188402,21711.895
T1188403,53449.96
T1188404,32503.732
T1188405,38347.047
T1188406,25001.246
T1188407,51722.703
T1188408,38039.156
T1188409,42338.133
T1188410,25209.316
T1188411,54541.97
T1188412,22568.643
T1188413,38347.047
T1188414,28488.863
T1188415,36406.758
T1188416,40793.79
T1188417,48845.46
T1188418,42597.78
T1188419,47056.977
T1188420,52892.89
T1188421,22491.928
T1188422,47056.977
T1188423,60403.14
T1188424,38347.047
T1188425,35320.656
T1188426,38347.047
T1188427,55627.492
T1188428,38347.047
T1188429,60730.5
T1188430,48968.305
T1188431,38347.047
T1188432,21919.965
T1188433,54541.97
T1188434,36156.61
T1188435,34291.79
T1188436,52692.344
T1188437,51457.21
T1188438,25209.316
T1188439,47056.977
T1188440,37904.242
T1188441,31271.06
T1188442,45819.227
T1188443,40908.625
T1188444,40180.68
T1188445,35020.14
T1188446,27189.7
T1188447,59996.164
T1188448,65151.344
T1188449,39565.71
T1188450,36454.375
T1188451,49582.14
T1188452,21919.965
T1188453,44322.71
T1188454,29047.857
T1188455,61801.234
T1188456,25209.316
T1188457,29082.756
T1188458,34610.0
T1188459,60282.35
