ID,Sales
T1188341,54892.94
T1188342,38702.9
T1188343,75945.91
T1188344,38659.23
T1188345,39807.05
T1188346,95064.88
T1188347,62493.51
T1188348,48738.31
T1188349,53147.57
T1188350,33408.58
T1188351,44396.516
T1188352,47420.305
T1188353,39191.574
T1188354,38960.785
T1188355,42361.4
T1188356,34374.26
T1188357,48354.61
T1188358,24055.053
T1188359,28649.758
T1188360,55684.223
T1188361,30442.781
T1188362,39321.84
T1188363,42197.254
T1188364,30442.781
T1188365,39321.84
T1188366,32443.814
T1188367,37618.566
T1188368,33000.02
T1188369,38702.9
T1188370,51086.613
T1188371,38702.9
T1188372,57487.797
T1188373,33983.746
T1188374,32546.918
T1188375,85421.195
T1188376,66118.99
T1188377,32502.084
T1188378,35510.645
T1188379,30442.781
T1188380,63329.973
T1188381,32897.05
T1188382,37450.875
T1188383,33015.133
T1188384,32951.383
T1188385,43269.4
T1188386,38382.543
T1188387,62287.906
T1188388,61414.562
T1188389,33925.168
T1188390,103680.73
T1188391,38702.9
T1188392,51086.613
T1188393,66924.84
T1188394,49437.832
T1188395,37605.336
T1188396,80409.76
T1188397,43048.95
T1188398,42520.87
T1188399,39456.58
T1188400,48781.977
T1188401,38021.938
T1188402,24011.387
T1188403,55886.35
T1188404,31570.068
T1188405,38702.9
T1188406,26549.08
T1188407,55549.043
T1188408,38230.258
T1188409,44016.137
T1188410,26592.746
T1188411,57676.42
T1188412,24398.236
T1188413,38702.9
T1188414,29510.715
T1188415,35929.68
T1188416,43269.4
T1188417,51029.94
T1188418,44437.285
T1188419,51086.613
T1188420,56518.977
T1188421,24072.45
T1188422,51086.613
T1188423,63375.836
T1188424,38702.9
T1188425,35950.062
T1188426,38702.9
T1188427,58373.97
T1188428,38702.9
T1188429,63255.316
T1188430,53118.805
T1188431,38702.9
T1188432,23617.938
T1188433,58373.97
T1188434,37313.15
T1188435,35316.746
T1188436,54745.914
T1188437,54274.242
T1188438,26592.746
T1188439,51086.613
T1188440,38486.703
T1188441,33109.816
T1188442,45649.777
T1188443,42026.707
T1188444,42197.254
T1188445,36247.254
T1188446,29641.99
T1188447,61737.33
T1188448,65391.05
T1188449,41112.72
T1188450,37008.547
T1188451,52020.316
T1188452,23617.938
T1188453,47574.367
T1188454,31111.486
T1188455,66454.42
T1188456,26592.746
T1188457,30399.115
T1188458,36153.36
T1188459,62287.906
T1188460,24011.387
T1188461,46502.902
T1188462,38702.9
T1188463,24750.895
T1188464,49405.77
T1188465,42476.965
T1188466,33109.816
T1188467,28292.719
T1188468,42677.0
T1188469,38489.094
T1188470,23617.938
T1188471,43589.48
T1188472,43269.4
T1188473,43269.4
T1188474,54732.16
T1188475,19304.105
T1188476,48738.31
T1188477,36632.07
T1188478,38702.9
T1188479,22329.652
T1188480,48950.434
T1188481,52372.44
T1188482,44801.605
T1188483,52416.11
T1188484,51793.855
T1188485,30442.781
T1188486,22724.605
T1188487,39717.633
T1188488,37887.773
T1188489,35219.277
T1188490,51458.035
T1188491,43915.88
T1188492,31227.902
T1188493,33087.75
